Entity,Code,Year,Annual COâ‚‚ emissions (per capita)
Qatar,QAT,1949,11.039423
Qatar,QAT,1950,14.469108
Qatar,QAT,1951,15.464225
Qatar,QAT,1952,7.4810076
Qatar,QAT,1953,13.661447
Qatar,QAT,1954,21.936163
Qatar,QAT,1955,14.559956
Qatar,QAT,1956,17.005178
Qatar,QAT,1957,10.079617
Qatar,QAT,1958,5.223579
Qatar,QAT,1959,5.3893447
Qatar,QAT,1960,4.830852
Qatar,QAT,1961,4.0172434
Qatar,QAT,1962,4.2209177
Qatar,QAT,1963,120.331474
Qatar,QAT,1964,108.94074
Qatar,QAT,1965,96.93989
Qatar,QAT,1966,85.792
Qatar,QAT,1967,80.9763
Qatar,QAT,1968,76.04863
Qatar,QAT,1969,68.56196
Qatar,QAT,1970,64.06982
Qatar,QAT,1971,68.69528
Qatar,QAT,1972,72.63455
Qatar,QAT,1973,76.07859
Qatar,QAT,1974,58.437443
Qatar,QAT,1975,56.12486
Qatar,QAT,1976,49.168724
Qatar,QAT,1977,43.64603
Qatar,QAT,1978,43.17668
Qatar,QAT,1979,55.08231
Qatar,QAT,1980,47.148193
Qatar,QAT,1981,43.542355
Qatar,QAT,1982,39.45618
Qatar,QAT,1983,34.02084
Qatar,QAT,1984,35.313297
Qatar,QAT,1985,33.830147
Qatar,QAT,1986,34.699615
Qatar,QAT,1987,28.863712
Qatar,QAT,1988,28.866888
Qatar,QAT,1989,33.478413
Qatar,QAT,1990,25.835598
Qatar,QAT,1991,38.07375
Qatar,QAT,1992,56.8224
Qatar,QAT,1993,63.12993
Qatar,QAT,1994,64.59833
Qatar,QAT,1995,64.32649
Qatar,QAT,1996,65.039116
Qatar,QAT,1997,76.61229
Qatar,QAT,1998,63.489567
Qatar,QAT,1999,59.102165
Qatar,QAT,2000,62.41147
Qatar,QAT,2001,67.493744
Qatar,QAT,2002,63.18985
Qatar,QAT,2003,62.141323
Qatar,QAT,2004,60.826984
Qatar,QAT,2005,56.026558
Qatar,QAT,2006,58.745068
Qatar,QAT,2007,48.204277
Qatar,QAT,2008,42.676384
Qatar,QAT,2009,40.411373
Qatar,QAT,2010,42.84859
Qatar,QAT,2011,45.1693
Qatar,QAT,2012,48.970154
Qatar,QAT,2013,40.681755
Qatar,QAT,2014,41.173534
Qatar,QAT,2015,37.768173
Qatar,QAT,2016,33.672157
Qatar,QAT,2017,36.917397
Qatar,QAT,2018,34.50409
Qatar,QAT,2019,35.985134
Qatar,QAT,2020,37.13288
Qatar,QAT,2021,39.884155
Qatar,QAT,2022,37.601273